Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
Bytedance,$180B,4/7/2017,Artificial intelligence,Beijing,China,Asia,2012,$8B,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group,4
SpaceX,$100B,12/1/2012,Other,Hawthorne,United States,North America,2002,$7B,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,,3
SHEIN,$100B,7/3/2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$2B,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,,3
Stripe,$95B,1/23/2014,Fintech,San Francisco,United States,North America,2010,$2B,"Khosla Ventures, LowercaseCapital, capitalG",Khosla Ventures, LowercaseCapital, capitalG,,3
Klarna,$46B,12/12/2011,Fintech,Stockholm,Sweden,Europe,2005,$4B,"Institutional Venture Partners, Sequoia Capital, General Atlantic",Institutional Venture Partners, Sequoia Capital, General Atlantic,,3
Canva,$40B,1/8/2018,Internet software & services,Surry Hills,Australia,Oceania,2012,$572M,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",Sequoia Capital China, Blackbird Ventures, Matrix Partners,,3
Checkout.com,$40B,5/2/2019,Fintech,London,United Kingdom,Europe,2012,$2B,"Tiger Global Management, Insight Partners, DST Global",Tiger Global Management, Insight Partners, DST Global,,3
Instacart,$39B,12/30/2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,$3B,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund,,3
JUUL Labs,$38B,12/20/2017,Consumer & retail,San Francisco,United States,North America,2015,$14B,Tiger Global Management,Tiger Global Management,,,,1
Databricks,$38B,2/5/2019,Data management & analytics,San Francisco,United States,North America,2013,$3B,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",Andreessen Horowitz, New Enterprise Associates, Battery Ventures,,3
Revolut,$33B,4/26/2018,Fintech,London,United Kingdom,Europe,2015,$2B,"index Ventures, DST Global, Ribbit Capital",index Ventures, DST Global, Ribbit Capital,,3
